len_x	len_y	TJ	J1	J2	J3	J4	trueED	TED[0]	TED[1]	TED[2]	ED1[0]	ED1[1]	ED1[2]	ED2[0]	ED2[1]	ED2[2]	ED3[0]	ED3[1]	ED3[2]	ED4[0]	ED4[1]	ED4[2]
3223	1100	0.0	0.0	0.0	0.0078125	-0.003373747923391986	2189.0	2123.0	0.0	201.4375	2123.0	0.0	201.4375	2123.0	0.0	201.4375	2123.0	16.95294117647059	199.34302325581396	2123.0	-7.28007556649947	202.35213024895455
238	2961	0.0	0.0	0.0	0.0078125	0.0011291842896240982	2723.0	2723.0	0.0	185.0625	2723.0	0.0	185.0625	2723.0	0.0	185.0625	2723.0	12.545098039215684	183.5125968992248	2723.0	1.8071505742724716	184.83698836029393
9606	15331	4.017354973485457e-05	0.0	0.0	0.0078125	0.0007172971514297645	8102.0	5724.999999999999	0.5009139666151097	958.1248895271764	5724.999999999999	0.0	958.1875	5724.999999999999	0.0	958.1875	5724.999999999999	97.7921568627451	946.1056201550388	5724.999999999999	8.946828299828917	957.0703488877353
8197	3482	0.0	0.0	0.0	0.0078125	0.0022911671477342	5076.0	4715.0	0.0	512.3125	4715.0	0.0	512.3125	4715.0	0.0	512.3125	4715.0	45.800000000000004	506.65406976744185	4715.0	13.394615210357118	510.64391418909395
13506	12860	0.0	0.0	0.0	0.0078125	0.005047416294665846	6899.0	645.9999999999995	0.0	844.125	645.9999999999995	0.0	844.125	645.9999999999995	0.0	844.125	645.9999999999995	103.39607843137254	831.3507751937984	645.9999999999995	66.70844165026853	835.8492599784626
1783	10018	0.0	0.0	0.0	0.0078125	0.0031392223116926883	8235.0	8235.0	0.0	626.125	8235.0	0.0	626.125	8235.0	0.0	626.125	8235.0	46.27843137254902	620.4074612403101	8235.0	18.552100834577043	623.8168730672976
1455	15589	0.0	0.0	0.0	0.0078125	0.0023796527682505664	14134.0	14134.0	0.0	974.3125	14134.0	0.0	974.3125	14134.0	0.0	974.3125	14134.0	66.83921568627451	966.0547480620155	14134.0	20.303558600746126	971.7835928096174
12714	11047	0.0	0.0	0.0	0.0078125	-0.0016155673729123425	6331.0	1667.0000000000005	0.0	794.625	1667.0000000000005	0.0	794.625	1667.0000000000005	0.0	794.625	1667.0000000000005	93.18039215686275	783.1128875968992	1667.0000000000005	-19.178256291318284	797.0281008931324
15021	2987	0.0	0.0	0.0	0.0078125	0.0008757952106986534	12034.0	12034.0	0.0	938.8125	12034.0	0.0	938.8125	12034.0	0.0	938.8125	12034.0	70.61960784313725	930.0876937984497	12034.0	7.889114701566816	937.8276550128818
4755	4981	0.0	0.0	0.0	0.0078125	-0.007912488590814299	2558.0	226.0000000000002	0.0	311.3125	226.0000000000002	0.0	311.3125	226.0000000000002	0.0	311.3125	226.0000000000002	38.180392156862744	306.5954457364341	226.0000000000002	-38.36620836709528	316.16564979993194
2067	9259	0.0	0.0	0.0	0.0078125	-0.0006352281566445896	7201.0	7192.0	0.0	578.6875	7192.0	0.0	578.6875	7192.0	0.0	578.6875	7192.0	44.4156862745098	573.2000968992248	7192.0	-3.5961548616664176	579.1374479509923
1980	3846	0.008005569091541943	0.015625	0.015625	0.0078125	0.006569387583040181	2082.0	1866.0	23.413943735802903	237.4831232734807	1866.0	45.8740157480315	234.77307692307693	1866.0	45.8740157480315	234.77307692307693	1866.0	22.847058823529412	237.55232558139534	1866.0	19.199691135668484	237.99853367469447
349	2625	0.0	0.0	0.0	0.0078125	-0.010743305377658899	2276.0	2276.0	0.0	164.0625	2276.0	0.0	164.0625	2276.0	0.0	164.0625	2276.0	11.662745098039217	162.62160852713177	2276.0	-15.889939858412998	166.08109830509883
9610	18140	3.610629693818602e-05	0.0	0.0	0.0078125	-0.00017828723640540421	10563.0	8530.0	0.5009839143543175	1133.6873804022096	8530.0	0.0	1133.75	8530.0	0.0	1133.75	8530.0	108.82352941176471	1120.3052325581396	8530.0	-2.47351490705649	1134.0592720649024
19805	2085	0.0	0.0	0.0	0.0078125	0.001134607147069452	17720.0	17720.0	0.0	1237.8125	17720.0	0.0	1237.8125	17720.0	0.0	1237.8125	17720.0	85.84313725490196	1227.2068798449613	17720.0	12.42532415547088	1236.261974833851
18625	2055	0.0	0.0	0.0	0.0078125	0.001039764735249047	16570.0	16570.0	0.0	1164.0625	16570.0	0.0	1164.0625	16570.0	0.0	1164.0625	16570.0	81.09803921568627	1154.0431201550387	16570.0	10.756759612130267	1162.7199999638851
